id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,pos_ecr,sd_ecr,ecr,risk,adp,adp_diff,full_name
14083,Travis,Homer,SEA,RB,21,0,RB,robust,18.94,161,0.637125000000001,12.157320000000004,2.274000000000002,27.78,NA,-125.22298499381827,504,-141.88898499381827,572,-116.38298499381827,543,106.2,15.1,317.4,6.580544463716146,150.98,353.02,Travis Homer
14083,Travis,Homer,SEA,RB,21,0,RB,weighted,17.76172876304024,124,3.8053695748927634,20.039406178826756,0.26,25.8360261627907,NA,-108.24982057207711,421,-125.75154933511735,485,-100.17552317232665,528,106.2,15.1,317.4,6.580544463716146,150.98,270.02,Travis Homer
14084,Elijah,Holyfield,CAR,RB,NA,0,RB,average,-0.244,240,NA,NA,-0.244,-0.244,NA,-144.92162404726122,668,-144.92162404726122,708,-144.92162404726122,677,117.1,21.1,324.3,8.683953353047274,150.91,517.09,Elijah Holyfield
14084,Elijah,Holyfield,CAR,RB,NA,0,RB,robust,-0.244,240,NA,0,-0.244,-0.244,NA,-144.40698499381827,658,-144.40698499381827,708,-144.40698499381827,677,117.1,21.1,324.3,8.683953353047274,150.91,507.09000000000003,Elijah Holyfield
14084,Elijah,Holyfield,CAR,RB,NA,0,RB,weighted,-0.244,193,NA,NaN,-0.244,-0.244,NA,-126.25554933511735,538,-126.25554933511735,497,-126.25554933511735,667,117.1,21.1,324.3,8.683953353047274,150.91,387.09000000000003,Elijah Holyfield
14085,Tony,Pollard,DAL,RB,NA,0,RB,average,73.53258021075385,95,1.182580210753855,40.23211563753936,31.1785,127.19637031613077,13,-71.14504383650737,330,-113.49912404726122,386,-17.48125373113045,298,59.5,13.9,169.6,6.15986268584992,141.8375,188.1625,Tony Pollard
14085,Tony,Pollard,DAL,RB,NA,0,RB,robust,68.69156177694448,98,0.41909614566264963,50.21972526139098,31.1785,127.19637031613077,13,-75.47142321687379,341,-112.98448499381827,386,-16.966614677687502,298,59.5,13.9,169.6,6.15986268584992,141.8375,199.1625,Tony Pollard
14085,Tony,Pollard,DAL,RB,NA,0,RB,weighted,75.00874565277192,71,2.3006252392779345,45.31495882989843,29.158,127.69998931206837,13,-51.00280368234543,273,-96.85354933511735,364,1.6884399769510168,281,59.5,13.9,169.6,6.15986268584992,141.8375,131.1625,Tony Pollard
14086,Justice,Hill,BAL,RB,22,0,RB,average,78.03868566215132,89,1.1870663155172565,47.54459848337021,16.040500000000005,143.42384516303483,13,-66.6389383851099,315,-128.6371240472612,450,-1.2537788842263922,264,56.7,9.8,160.4,4.722533278140316,143.97,171.03,Justice Hill
14086,Justice,Hill,BAL,RB,22,0,RB,robust,72.074258178603,93,0.3205081786030064,29.187204899999998,16.040500000000005,143.42384516303483,13,-72.08872681521527,326,-128.12248499381826,450,-0.7391398307834436,264,56.7,9.8,160.4,4.722533278140316,143.97,182.03,Justice Hill
14086,Justice,Hill,BAL,RB,22,0,RB,weighted,76.20274137649693,70,2.1094191694576807,49.302111330347444,0.21000000000000002,139.27352287185752,13,-49.80880795862042,270,-125.80154933511736,486,13.261973536740172,257,56.7,9.8,160.4,4.722533278140316,143.97,126.03,Justice Hill
14087,Darrell,Henderson,LAR,RB,22,0,RB,average,130.4378010397376,57,4.763941736420378,28.672652249065944,86.355,152.1621,8,-14.239823007523626,196,-58.322624047261215,245,7.484475952738791,239,41.4,7.8,105.7,4.021396981696607,98.39,97.61,Darrell Henderson
14087,Darrell,Henderson,LAR,RB,22,0,RB,robust,134.536,51,0.23074459194407382,15.088420199999987,86.355,152.1621,8,-9.626984993818269,167,-57.807984993818266,245,7.999115006181739,239,41.4,7.8,105.7,4.021396981696607,98.39,68.61,Darrell Henderson
14087,Darrell,Henderson,LAR,RB,22,0,RB,weighted,129.39000951323288,45,5.06769026717329,33.30497836584372,70.59,152.13838348623852,8,3.3784601781155317,117,-55.42154933511735,262,26.126834151121173,221,41.4,7.8,105.7,4.021396981696607,98.39,18.61,Darrell Henderson
14088,Rodney,Anderson,CIN,RB,NA,0,RB,average,58.64333333333334,113,1.5349688408595696,40.39719833519811,7.127000000000006,70.1,21,-86.03429071392787,380,-137.5506240472612,488,-74.57762404726122,422,100.4,13.6,302.2,6.054692241383364,150.99,229.01,Rodney Anderson
14088,Rodney,Anderson,CIN,RB,NA,0,RB,robust,61.5075,109,1.724624999999996,0,7.127000000000006,70.1,21,-82.65548499381828,363,-137.03598499381826,488,-74.06298499381828,422,100.4,13.6,302.2,6.054692241383364,150.99,212.01,Rodney Anderson
14088,Rodney,Anderson,CIN,RB,NA,0,RB,weighted,53.35038748137109,90,1.5308528222186055,49.476261479622714,0.13,63.27589098837209,21,-72.66116185374626,326,-125.88154933511734,487,-62.73565834674526,415,100.4,13.6,302.2,6.054692241383364,150.99,175.01,Rodney Anderson
14093,Ryquell,Armstead,JAC,RB,NA,0,RB,average,24.71063305554695,152,0.9456330555469492,13.8997037739457,7.574,39.344732222187794,NA,-119.96699099171427,495,-137.10362404726123,485,-105.33289182507343,502,71.4,8.1,215.6,4.126567426163163,150.91,344.09000000000003,Ryquell Armstead
14093,Ryquell,Armstead,JAC,RB,NA,0,RB,robust,25.642582638867374,151,2.2175826388673734,8.299594800000003,7.574,39.344732222187794,NA,-118.5204023549509,480,-136.5889849938183,485,-104.81825277163048,502,71.4,8.1,215.6,4.126567426163163,150.91,329.09000000000003,Ryquell Armstead
14093,Ryquell,Armstead,JAC,RB,NA,0,RB,weighted,24.17153490313222,116,0.7232805468211332,15.937634163787573,3.3700000000000006,39.081646401459295,NA,-101.84001443198514,401,-122.64154933511736,470,-86.92990293365807,484,71.4,8.1,215.6,4.126567426163163,150.91,250.09,Ryquell Armstead
14094,Jordan,Scarlett,CAR,RB,NA,0,RB,average,18.950000000000003,163,0.2736666666666707,17.710715212360377,7.777000000000001,36.586,NA,-125.72762404726122,518,-136.9006240472612,483,-108.09162404726122,508,94.4,20,271.6,8.298328390003233,150.98,367.02,Jordan Scarlett
14094,Jordan,Scarlett,CAR,RB,NA,0,RB,robust,16.910000000000004,165,1.733000000000004,4.255061999999997,7.777000000000001,36.586,NA,-127.25298499381827,516,-136.38598499381828,483,-107.57698499381829,508,94.4,20,271.6,8.298328390003233,150.98,365.02,Jordan Scarlett
14094,Jordan,Scarlett,CAR,RB,NA,0,RB,weighted,21.91435855263158,120,2.272559388867755,22.634488065781383,7.490000000000001,36.03699644128113,NA,-104.09719078248577,411,-118.52154933511734,441,-89.97455289383622,493,94.4,20,271.6,8.298328390003233,150.98,260.02,Jordan Scarlett
14095,Ty,Johnson,DET,RB,NA,0,RB,average,4.916666666666667,194,0.406416666666666,4.822907145418967,0.5110000000000005,9.187000000000001,NA,-139.76095738059456,602,-144.16662404726122,661,-135.49062404726124,605,90.3,19.7,277,8.193157945536676,150.98,451.02,Ty Johnson
14095,Ty,Johnson,DET,RB,NA,0,RB,robust,4.915000000000001,192,0.23312500000000114,6.716178,0.5110000000000005,9.187000000000001,NA,-139.24798499381828,593,-143.65198499381827,661,-134.9759849938183,605,90.3,19.7,277,8.193157945536676,150.98,442.02,Ty Johnson
14095,Ty,Johnson,DET,RB,NA,0,RB,weighted,2.8115543328748283,160,0.1792669676976324,3.6133156518632576,0,4.64562875,NA,-123.19999500224252,497,-126.01154933511735,490,-121.36592058511735,610,90.3,19.7,277,8.193157945536676,150.98,346.02,Ty Johnson
14096,Devine,Ozigbo,NOS,RB,23,0,RB,average,14.020000000000001,172,0.26462500000000055,9.913637072235398,0.7010000000000007,13.319,NA,-130.6576240472612,545,-143.9766240472612,654,-131.3586240472612,592,114.3,20.4,343.3,8.438555649291974,150.99,394.01,Devine Ozigbo
14096,Devine,Ozigbo,NOS,RB,23,0,RB,robust,14.020000000000001,171,0.6738750000000007,10.393026,0.7010000000000007,13.319,NA,-130.14298499381826,536,-143.46198499381825,654,-130.84398499381825,592,114.3,20.4,343.3,8.438555649291974,150.99,385.01,Devine Ozigbo
14096,Devine,Ozigbo,NOS,RB,23,0,RB,weighted,14.02,125,0.7137692738656387,9.913637072235396,0,12.461507645259939,NA,-111.99154933511736,431,-126.01154933511735,490,-113.55004168985741,582,114.3,20.4,343.3,8.438555649291974,150.99,280.01,Devine Ozigbo
14097,Qadree,Ollison,ATL,RB,23,0,RB,average,17.880000000000003,167,0.8023333333333369,NA,17.880000000000003,17.880000000000003,NA,-126.79762404726122,526,-126.79762404726122,445,-126.79762404726122,579,86.9,11.1,267.3,5.178271870828727,150.99,375.01,Qadree Ollison
14097,Qadree,Ollison,ATL,RB,23,0,RB,robust,17.880000000000003,163,0.8862500000000004,0,17.880000000000003,17.880000000000003,NA,-126.28298499381827,514,-126.28298499381827,445,-126.28298499381827,579,86.9,11.1,267.3,5.178271870828727,150.99,363.01,Qadree Ollison
14097,Qadree,Ollison,ATL,RB,23,0,RB,weighted,NA,NA,NA,NaN,17.880000000000003,17.880000000000003,NA,NA,NA,NA,407,NA,563,86.9,11.1,267.3,5.178271870828727,150.99,NA,Qadree Ollison
14098,Damarea,Crockett,HOU,RB,NA,0,RB,average,30.820000000000004,142,0.6115833333333391,1.612203461105329,29.794,31.846,NA,-113.85762404726121,467,-114.88362404726121,394,-112.83162404726122,524,97,17,291.7,7.246623945337669,150.97,316.03,Damarea Crockett
14098,Damarea,Crockett,HOU,RB,NA,0,RB,robust,30.820000000000004,141,0.7352500000000006,1.6901640000000007,29.794,31.846,NA,-113.34298499381826,454,-114.36898499381826,394,-112.31698499381827,524,97,17,291.7,7.246623945337669,150.97,303.03,Damarea Crockett
